YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,MAM,JJA,SON,DJF,ANN
1901,26.1,25.1,25.3,23.7,22.2,20.6,19.8,19.6,21.3,23.5,26.2,24.5,23.7,20,23.7,25.4,23.2
1902,26.3,25.3,24.6,24.7,22.8,20.6,20.5,20,23.6,24.1,25.5,25.1,24,20.3,24.4,25.2,23.6
1903,25.6,25,25.4,24.5,23.2,21.5,19.8,20.7,20.8,23,24.8,24.9,24.4,20.7,22.9,24.9,23.3
1904,24.9,24.9,25,23.7,22.9,20.3,19.3,20.7,21.1,24.4,26,25.4,23.9,20.1,23.8,25.4,23.2
1905,25.8,25.1,24.7,23.3,23,21.9,19.8,21,21.2,24.6,24.5,24.9,23.7,20.9,23.4,25.6,23.3
1906,26.5,25.4,25.9,24.5,22.6,20.6,19.8,20.2,21.7,23.4,24.7,24.9,24.3,20.2,23.3,25.2,23.3
1907,25.5,25.2,24.5,24.1,22.6,20.7,18.8,20.5,22.3,25.1,25.1,24.4,23.7,20,24.2,25,23.2
1908,25.8,24.9,25.5,24.3,21.9,21.3,19.8,21.2,22.9,25.1,25.7,24.7,23.9,20.8,24.6,25,23.6
1909,25.2,25.1,25,24.1,22,19.6,20.6,20.5,22.9,23,25.3,26.2,23.7,20.3,23.8,25.7,23.3
1910,25.7,25.3,25,24.5,22.1,19.9,19.6,20.7,22.4,24.3,23.6,24.3,23.8,20,23.5,24.7,23.1
1911,25.3,24.5,24.6,22.9,21.9,20.2,20.1,20.5,22.3,24.3,24.8,26,23.1,20.3,23.8,25.6,23.1
1912,26.1,24.8,25.9,24.5,23.1,20.9,19.9,21.1,23.5,24.4,26.1,25.1,24.5,20.6,24.7,25,23.8
1913,25,24.8,25.7,23.3,23.4,20.4,19.4,21.4,22.6,25,24.9,24.6,24.1,20.4,24.1,25.2,23.4
1914,25.1,25.7,25.2,24.5,22.7,21.3,19.7,21.1,22.8,24.1,24.3,25.9,24.1,20.7,23.7,25.7,23.5
1915,25.8,25.4,25.2,24.9,22.9,20.6,20.5,20,21.9,25.1,25.1,25.1,24.3,20.4,24,25.2,23.5
1916,25.7,24.9,25.3,24.4,22.3,20.5,18.6,20.8,22.1,24,23.9,23.7,24,20,23.3,24.2,23
1917,24.9,23.9,24.4,23.8,23.2,21,20.5,20.6,21.7,22.2,24.5,23.9,23.8,20.7,22.8,24.8,22.9
1918,25.8,24.6,24.8,23.5,22.2,20.9,19.5,20.2,22.1,24.4,25,25.2,23.5,20.2,23.8,25.4,23.2
1919,25.7,25.4,25.3,23.3,21.4,20.5,19,21.7,23.5,24,25.8,25.6,23.3,20.4,24.4,25.3,23.4
1920,25.4,24.9,24.9,23.2,22.6,19.6,18.8,20.8,23.5,25.1,24.6,24.4,23.6,19.7,24.4,24.8,23.1
1921,25.1,24.9,24.4,23.3,22.2,20.4,19.8,20.6,22.4,24.6,24.8,24.3,23.3,20.3,23.9,24.6,23.1
