name,versionCode,currentRequestedFunds,objective,partners,startDate,endDate,globalClusters,organizations,plans,Response plan code
#activity+name,#activity+code+v_hpc,#value+requested+usd,#description+objective,#org+impl+name+list,#date+start,#date+end,#sector+cluster+global+name,#org+prog+name,#response+plan+name,#response+plan+code
Support for the operational coordination of responses and information management during 12 months of intervention,FMDG22-CSS-183416-1,13333,Support for the operational coordination of responses and information management during 12 months of intervention,,2022-01-01,2022-05-31,Coordination and support services,Office for the Coordination of Humanitarian Affairs,Madagascar's Grand Sud Flash Appeal 2022,FMDG22
Strengthening of the monitoring and early warning system for displacements from the Grand Sud,FMDG22-CSS-183417-1,41250,Strengthening of the monitoring and early warning system for displacements from the Grand Sud,,2022-01-01,2022-05-31,Coordination and support services,International Organization for Migration,Madagascar's Grand Sud Flash Appeal 2022,FMDG22
Provision of learning support provision to reduce the impact of children's schooling on households,FMDG22-EDU-183413-1,1712500,Provision of learning support to reduce the impact of children's schooling on households,,2022-01-01,2022-05-31,Education,United Nations Children's Fund,Madagascar's Grand Sud Flash Appeal 2022,FMDG22
"Emergency cash food assistance for 25,000 beneficiaries in the Ambovombe and Amboasary Districts",FMDG22-FSC-183390-1,541667,"Emergency cash food assistance for 25,000 beneficiaries in the Ambovombe and Amboasary Districts",,2022-01-01,2022-05-31,Food Security,Save the Children,Madagascar's Grand Sud Flash Appeal 2022,FMDG22
"Drought response through shock responsive social protection by the members of the National Cash Working Group under the Tosika Vonjy Anje project, targeting 315,000 beneficiaries in the IPC3 and 4 Districts",FMDG22-FSC-183391-1,8729167,"Drought response through shock responsive social protection by the members of the National Cash Working Group under the Tosika Vonjy Anje project, targeting 315,000 beneficiaries in the IPC3 and 4 Districts",,2022-01-01,2022-05-31,Food Security,United Nations Children's Fund,Madagascar's Grand Sud Flash Appeal 2022,FMDG22
"Relaunching livelihoods for the population through an integrated package that includes emergency food assistance and climate change adaptation activities by making the link with Social Protection programs (school canteens and support for small producers, etc. ) 674,000 beneficiaries in the 08 Districts in IPC3 and 4, combined with the prevention of acute malnutrition for 175,618 children from 06 to 59 months and 54,881 pregnant and breastfeeding women ",FMDG22-FSC-183392-1,26708333,"Relaunching livelihoods for the population through an integrated package that includes emergency food assistance and climate change adaptation activities by making the link with Social Protection programs (school canteens and support for small producers, etc. ) 674,000 beneficiaries in the 08 Districts in IPC3 and 4, combined with the prevention of acute malnutrition for 175,618 children from 06 to 59 months and 54,881 pregnant and breastfeeding women ",,2022-01-01,2022-05-31,Food Security,World Food Programme,Madagascar's Grand Sud Flash Appeal 2022,FMDG22
"Emergency in-kind food assistance for 6,000 beneficiaries in Tsihombe District",FMDG22-FSC-183394-1,38542,"Emergency in-kind food assistance for 6,000 beneficiaries in Tsihombe District",,2022-01-01,2022-05-31,Food Security,GRET,Madagascar's Grand Sud Flash Appeal 2022,FMDG22
"Agricultural revival: technical supervision of 202,500 households in sedimentary and crystalline areas through the CASH + approach: provision of inputs, innovative materials and techniques adapted to the local context ",FMDG22-FSC-183395-1,3385417,"Agricultural revival: technical supervision of 202,500 households in sedimentary and crystalline areas through the CASH + approach: provision of inputs, innovative materials and techniques adapted to the local context. ",,2022-01-01,2022-05-31,Food Security,Food & Agriculture Organization of the United Nations,Madagascar's Grand Sud Flash Appeal 2022,FMDG22
"Support for the rapid restoration of livelihoods for 2,500 households (12,500 people) in Ampanihy, Beloha and Tsihombe Districts",FMDG22-FSC-183396-1,41667,"Support for the rapid restoration of livelihoods for 2,500 households (12,500 people) in Ampanihy, Beloha and Tsihombe Districts",,2022-01-01,2022-05-31,Food Security,Catholic Relief Services,Madagascar's Grand Sud Flash Appeal 2022,FMDG22
"Emergency in kind food assistance for 250,000 beneficiaries in the Districts of Ampanihy, Beloha and Tsihombe",FMDG22-FSC-183397-1,3562500,"Emergency in kind food assistance for 250,000 beneficiaries in the Districts of Ampanihy, Beloha and Tsihombe",,2022-01-01,2022-05-31,Food Security,Catholic Relief Services,Madagascar's Grand Sud Flash Appeal 2022,FMDG22
"Emergency cash food assistance for 10,000 beneficiaries in the District of Taolagnaro",FMDG22-FSC-183398-1,25833,"Emergency cash food assistance for 10,000 beneficiaries in the District of Taolagnaro",,2022-01-01,2022-05-31,Food Security,Malagasy Red Cross Society,Madagascar's Grand Sud Flash Appeal 2022,FMDG22
"Emergency in kind food assistance for 3,250 beneficiaries in the District of Ampanihy",FMDG22-FSC-183399-1,208333,"Emergency in kind food assistance for 3,250 beneficiaries in the District of Ampanihy",,2022-01-01,2022-05-31,Food Security,Adventist Development and Relief Agency,Madagascar's Grand Sud Flash Appeal 2022,FMDG22
"Support for the rapid restoration of livelihoods for 11,650 households (58,250 people) in Ampanihy, Betioky, Betroka and Bekily Districts",FMDG22-FSC-183400-1,333333,"Support for the rapid restoration of livelihoods for 11,650 households (58,250 people) in Ampanihy, Betioky, Betroka and Bekily Districts",,2022-01-01,2022-05-31,Food Security,Action Contre la Faim,Madagascar's Grand Sud Flash Appeal 2022,FMDG22
"Rehabilitation and enhancement of water points, including boreholes, using the ""cash for work"" modality and support for micro-irrigation devices in the sedimentary and crystalline zone. ",FMDG22-FSC-185508-1,2083333,"Rehabilitation and enhancement of water points, including boreholes, using the ""cash for work"" modality and support for micro-irrigation devices in the sedimentary and crystalline zone. ",,2022-01-01,2022-05-31,Food Security,Food & Agriculture Organization of the United Nations,Madagascar's Grand Sud Flash Appeal 2022,FMDG22
"Recapitalization of the 90,000 most affected herding households and strengthening of animal health in the sedimentary and crystalline zone",FMDG22-FSC-185510-1,458333,"Recapitalization of the 90,000 most affected herding households and strengthening of animal health in the sedimentary and crystalline zone (including the district of Ampanihy)",,2022-01-01,2022-05-31,Food Security,Food & Agriculture Organization of the United Nations,Madagascar's Grand Sud Flash Appeal 2022,FMDG22
